Freq.	V(verr)/V(x)
Step Information: Rload=3.7  (Run: 1/2)
1.00000000000000e-001	(9.92565373620347e+001dB,1.03119827222619e+002°)
1.02329299228075e-001	(9.90666103825571e+001dB,1.02831460090129e+002°)
1.04712854805090e-001	(9.88762519016615e+001dB,1.02549023285714e+002°)
1.07151930523761e-001	(9.86854795055457e+001dB,1.02272422076790e+002°)
1.09647819614318e-001	(9.84943101393735e+001dB,1.02001561488546e+002°)
1.12201845430196e-001	(9.83027601242173e+001dB,1.01736346442308e+002°)
1.14815362149688e-001	(9.81108451741269e+001dB,1.01476681884568e+002°)
1.17489755493953e-001	(9.79185804132591e+001dB,1.01222472907096e+002°)
1.20226443461741e-001	(9.77259803930103e+001dB,1.00973624858450e+002°)
1.23026877081238e-001	(9.75330591090956e+001dB,1.00730043447343e+002°)
1.25892541179417e-001	(9.73398300185293e+001dB,1.00491634838145e+002°)
1.28824955169313e-001	(9.71463060564618e+001dB,1.00258305738972e+002°)
1.31825673855641e-001	(9.69524996528364e+001dB,1.00029963482671e+002°)
1.34896288259165e-001	(9.67584227488303e+001dB,9.98065161010869e+001°)
1.38038426460288e-001	(9.65640868130525e+001dB,9.95878723929443e+001°)
1.41253754462275e-001	(9.63695028574717e+001dB,9.93739419856951e+001°)
1.44543977074593e-001	(9.61746814530515e+001dB,9.91646353916538e+001°)
1.47910838816821e-001	(9.59796327450761e+001dB,9.89598640587510e+001°)
1.51356124843621e-001	(9.57843664681485e+001dB,9.87595404162003e+001°)
1.54881661891248e-001	(9.55888919608498e+001dB,9.85635779153898e+001°)
1.58489319246111e-001	(9.53932181800480e+001dB,9.83718910662763e+001°)
1.62181009735893e-001	(9.51973537148488e+001dB,9.81843954695638e+001°)
1.65958690743756e-001	(9.50013068001820e+001dB,9.80010078449257e+001°)
1.69824365246174e-001	(9.48050853300188e+001dB,9.78216460555237e+001°)
1.73780082874937e-001	(9.46086968702186e+001dB,9.76462291290670e+001°)
1.77827941003892e-001	(9.44121486710031e+001dB,9.74746772756445e+001°)
1.81970085860998e-001	(9.42154476790586e+001dB,9.73069119025344e+001°)
1.86208713666287e-001	(9.40186005492681e+001dB,9.71428556262173e+001°)
1.90546071796325e-001	(9.38216136560759e+001dB,9.69824322817855e+001°)
1.94984459975804e-001	(9.36244931044880e+001dB,9.68255669299149e+001°)
1.99526231496888e-001	(9.34272447407126e+001dB,9.66721858616185e+001°)
2.04173794466953e-001	(9.32298741624466e+001dB,9.65222166009059e+001°)
2.08929613085404e-001	(9.30323867288135e+001dB,9.63755879055361e+001°)
2.13796208950223e-001	(9.28347875699585e+001dB,9.62322297659956e+001°)
2.18776162394955e-001	(9.26370815963084e+001dB,9.60920734028604e+001°)
2.23872113856834e-001	(9.24392735075030e+001dB,9.59550512626527e+001°)
2.29086765276777e-001	(9.22413678010053e+001dB,9.58210970123410e+001°)
2.34422881531992e-001	(9.20433687803991e+001dB,9.56901455325735e+001°)
